NOME,INDIRIZZO,CIVICO,CITTA' ,PROVINCIA,CAP,SITO INTERNET,TELEFONO,FAX,LATITUDINE,LONGITUDINE,MODELLI VENDUTI
DRAGHETTI SRL,VIA FERRARESE,215,BOLOGNA,BO,40128,http://www.renault.it/concessionaria/draghetti,051/323040,051/6388611,44.50959,11.35471,"fluence z.e., kangoo z.e., twizy"
RENO M.COMPANY SRL,VIA DE PISIS,16,BOLOGNA,BO,40133,http://www.renault.it/concessionaria/renomotorcompany,051/6198955,051/6198956,44.50108,11.29104,"fluence z.e., kangoo z.e., twizy"
AUTEC SRL,VIA S.DONATO,3/2,QUARTO INFERIORE,BO,40057,http://www.renault.it/concessionaria/autec,051/780018,051/780766,44.51093,11.38610,"fluence z.e., kangoo z.e., twizy"
AUTORIP.SRM DI MONTORSI GIORGIO SRL,VIA DEL MANISCALCO,6/8,CASTELFRANCO EMILIA,MO,41013,http://www.renault.it/concessionaria/autorip,059/926681  , 059/950259  ,44.58878,11.06468,"fluence z.e., kangoo z.e., twizy"
MODENAUTO GROUP SPA,VIA EMILIA OVEST,1127/A,MODENA,MO,41100,http://www.renault.it/concessionaria/modenauto,059/335450,059/827313,44.65238,10.87141,"fluence z.e., kangoo z.e., twizy"
AUTOS. SCARABELLI SRL,VIA FONDO VAL TIEPIDO,85,MARANELLO,MO,41053,http://www.renault.it/concessionaria/scarabelli,053/6941605,053/6933324,44.52418,10.87007,"fluence z.e., kangoo z.e., twizy"
FRANCIOSI SRL,VIA STATALE SUD,70,MIRANDOLA,MO,41037,http://www.renault.it/concessionaria/franciosi,053/5665711,053/5665790,44.86146,11.05939,"fluence z.e., kangoo z.e., twizy"
AUTO IL CORREGGIO SPA,VIA MATTEOTTI,1,CORREGGIO,RE,42015,http://www.renault.it/concessionaria/autoilcorreggio,052/2692025,052/2631226,44.76311,10.78752,"fluence z.e., kangoo z.e., twizy"
LASAGNI & C. SPA,VIA F.LLI BRUSCHI,6,REGGIO EMILIA,RE,42100,http://www.renault.it/concessionaria/lasagni,052/2700011,052/2792539,44.71085,10.61381,"fluence z.e., kangoo z.e., twizy"
COMAC SRL,VIA ANDREA COSTA,51,FORLÌ,FC,47100,http://www.renault.it/concessionaria/comac,054/361546,054/3400741,44.22053,12.05658,"fluence z.e., kangoo z.e., twizy"
AUTOPIU' SRL,VIA BENTINI,11,BOLOGNA,BO,40128,http://www.concessionario.citroen.it/autopiu-castelmaggiore,051/7092429,,44.54754,11.35664,Citroen C-zero
AUTOLUNA E.R. S.R.L.,VIA DEL CARROZZAIO,2,BOLOGNA,BO,40127,http://www.concessionario.citroen.it/autoluna-bologna,051/533428,051/6010925,44.49933,11.39857,Citroen C-zero
AUTOPIU' SRL,PIAZZA 7 NOVEMBRE 1944,8,BOLOGNA,BO,40128,http://www.concessionario.citroen.it/autopiu-bologna,051/558408,051/520511,44.50285,11.33339,Citroen C-zero
PANINI OTELLO & C. S.R.L.,VIA EMILIA EST,1385,SALICETO PANARO,MO,41100,http://www.concessionario.citroen.it/panini-modena,059/284411,059/281851,44.6288,10.96882,Citroen C-zero
EMIL-CAR S.R.L.,VIA RADICI IN PIANO,7,FIORANO MODENESE,MO,41042,http://www.concessionario.citroen.it/emilcar,0536/802113,0536/802221,44.53726,10.82092,Citroen C-zero
PANINI OTELLO & C. S.R.L.,VIA MANZONI A-D,,CARPI,MO,41012,http://www.concessionario.citroen.it/panini-carpi,059/682103,,44.7886,10.88806,Citroen C-zero
AUTOSALONE 2000 S.R.L.,VIA ENRICO MATTEI,2,DUE CARRARE,PD,35020,http://www.chevroletpadova.it/,049/8669944,049/8668872,45.32630,11.81559,VOLT
TESLA STORE,VIA CERVA,31,MILANO,MI,20122,http://www.teslamotors.com/it_IT/milan,02/89775758,,45.46553,9.19942,"ROADSTER, MODEL S"
GOLDEN CAR,VIA DE CARRACCI,8/9,BOLOGNA,BO,40131,http://www.eagroup.it/home.php,051/6382111  ,051/6346641,44.50837,11.33568,i MiEV
MELEGARI AUTO,VIA LA SPEZIA,152,PARMA,PR,43100,http://www.mitsubishiparma.it/contents/it/Home-Page.htm,0521/293969,0521/983660,44.78396,10.29208,i MiEV
STAREMILIA S.r.l.,VIA DEL LAVORO,50,CASALECCHIO DI RENO,BO,40033,http://it.smart.com/is-bin/INTERSHOP.enfinity/WFS/mpc-it-content-Site/it_IT/-/EUR/Smart_DealerLocator-ViewSmartCenter?sCCode=3919,051/19936600,051/19936699,44.47966,11.26716,SMART ED
AUTOTORINO S.p.A.,VIA EMILIA EST,1299,MODENA,MO,41100,http://it.smart.com/is-bin/INTERSHOP.enfinity/WFS/mpc-it-content-Site/it_IT/-/EUR/Smart_DealerLocator-ViewSmartCenter?sCCode=30842,059/2863811,059/2863860,44.63162,10.96179,SMART ED
DE STEFANI S.p.A.,VIA POLA,23,IMOLA,BO,40026,http://it.smart.com/is-bin/INTERSHOP.enfinity/WFS/mpc-it-content-Site/it_IT/-/EUR/Smart_DealerLocator-ViewSmartCenter?sCCode=3814, 0542/691911, 0542/44203,44.35991,11.69305,SMART ED
STAREMILIA S.r.l.,VIA TRASVOLATORI ATLANTICI,4,FERRARA,FE,44100,http://it.smart.com/is-bin/INTERSHOP.enfinity/WFS/mpc-it-content-Site/it_IT/-/EUR/Smart_DealerLocator-ViewSmartCenter?sCCode=5625,0532/067711,0532/067798,44.79920,11.57250,SMART ED
NEACAR S.r.l.,VIA G.B. VICO,10,CELLA,RE,42124,http://it.smart.com/is-bin/INTERSHOP.enfinity/WFS/mpc-it-content-Site/it_IT/-/EUR/Smart_DealerLocator-ViewSmartCenter?sCCode=3824,0522/1770611,0522/1770612,44.72227,10.56284,SMART ED
DE STEFANI S.p.A.,VIA DISMANO,2,RAVENNA,RA,48100,http://it.smart.com/is-bin/INTERSHOP.enfinity/WFS/mpc-it-content-Site/it_IT/-/EUR/Smart_DealerLocator-ViewSmartCenter?sCCode=BH3,0544/479611,0544/479660,44.39540,12.21524,SMART ED
DE STEFANI S.p.A.,VIA RAVENNATE,1550,CESENA,FC,47023,http://it.smart.com/is-bin/INTERSHOP.enfinity/WFS/mpc-it-content-Site/it_IT/-/EUR/Smart_DealerLocator-ViewSmartCenter?sCCode=5914,0547/637011,0547/637031,44.16732,12.24300,SMART ED
ANTARES - S.C.A. S.r.l.,VIA LAVAGNA,1/A,PARMA,PR,43100,http://it.smart.com/is-bin/INTERSHOP.enfinity/WFS/mpc-it-content-Site/it_IT/-/EUR/Smart_DealerLocator-ViewSmartCenter?sCCode=5587,0521/901590,0521/983991,44.78467,10.29339,SMART ED
MORINI CARS,VIA EMILIA,295,SAN LAZZARO DI SAVENA,BO,40068,http://www.morinicars.nissan.it/,051/4992511,0516256592,44.46335,11.42751,NISSAN LEAF
PELLONI AUTO S.P.A.,VIA DON LORENZO MILANO,89,MODENA,MO,41100,http://pelloniauto.nissan.it/,059/250396,059/260503,44.65855,10.96832,NISSAN LEAF
PELLONI AUTO S.P.A.,VIA NONANTOLANA,980,MODENA,MO,41100,http://pelloniauto.nissan.it/,059/250396,059/260503,44.66045,10.96681,NISSAN LEAF
AUTO PO S.R.L.,VIA TRAVERSAGNO,49,FERRARA,FE,44100,http://www.autopo.nissan.it/,0532/54545,0532/773127,44.85252,11.58308,NISSAN LEAF
PELLONI AUTO S.P.A.,CIRCONVALLAZIONE NORD EST,114,SASSUOLO,MO,41049,http://pelloniauto.nissan.it/,0536/812075,0536/888472,44.54817,10.79702,NISSAN LEAF
PELLONI AUTO S.P.A.,VIA VASCO DE GAMA,22,CARPI,MO,41012,http://pelloniauto.nissan.it/,059/643860,059/643860,44.78388,10.87966,NISSAN LEAF
KENDO MOTORS S.R.L.,VIA G.B. VICO,10/D,REGGIO EMILIA,RE,42100,http://www.kendomotors.nissan.it/,0522/930055,0522/381290,44.72227,10.56284,NISSAN LEAF
COMAC S.R.L.,VIA ANDREA COSTA,51,FORLÌ,FC,47100,http://comac.nissan.it/,0543/405045,0543/405038,44.22066,12.05702,NISSAN LEAF
DESTAUTO S.P.A.,VIA FAENTINA,173,RAVENNA,RA,48100,http://destauto.nissan.it/,0544/500850,0544/500819,44.42129,12.15550,NISSAN LEAF
CAREBO,VIA ALFREDO TASSI,1/A,PARMA,PR,43100,,0521/247511,0521/247519,44.78634,10.37891,NISSAN LEAF
PIRACCINI,VIA ITALIA,24,RIMINI,RN,47900,http://piraccini.nissan.it/,0541/358811,0541/358886,44.06471,12.53757,NISSAN LEAF